Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"1501 S 1st St, Austin, TX 78704, USA",e6f8fc91656eeded19fd8c052ea5b527a7737b30,30.2497867,-97.75465659999999,Elizabeth Street Cafe,3.0,4.3,78704
"1207 S 1st St, Austin, TX 78704, USA",7ec20c2b0b06aefc84c4918baff9699273280dc2,30.25184699999999,-97.753896,Saperlipopette! (French Crepes),0.0,5.0,78704
"88 1/2 Rainey St, Austin, TX 78701, USA",b6b67516fe35e735ba67bd8537b9dbab51b10cfd,30.2599125,-97.73851669999999,L'estelle House,0.0,4.5,78701
"200 San Jacinto Blvd A, Austin, TX 78701, USA",9a48a73ea45302d15fff6e039dabc100867517d7,30.2639781,-97.7419046,Le Café Crêpe,1.0,4.3,78701
"110 San Antonio St, Austin, TX 78701, USA",6a9c702ac129afd0c82fd0bc8a3eccd4b57f0e9a,30.2655157,-97.74925960000002,Le Politique,3.0,4.3,78701
"510 Neches St, Austin, TX 78701, USA",23b06c5ec5929d98a06616c7dba96705f21f9c2c,30.26646599999999,-97.73859499999999,Chez Nous,2.0,4.4,78701
"208 W 4th St, Austin, TX 78701, USA",6297659079f769760dbe55ad676c44fd2c4f5a4c,30.266927,-97.745172,Péché,0.0,4.5,78701
"1115 E 11th St, Austin, TX 78702, USA",01779708fb644f5d4bbd8b43bbd47bd16cbaff18,30.2688493,-97.7287307,Blue Dahlia Bistro,2.0,4.6,78702
"4710 E 5th St, Austin, TX 78702, USA",553fd31c1eaeda0a770d0f910279c7d7b3620d28,30.2532345,-97.7005786,Justine's,2.0,4.5,78702
"3663 Bee Caves Rd, West Lake Hills, TX 78746, USA",a29ca6c5d703133dc5345541efbb7fc4192eac65,30.27851279999999,-97.8077332,Blue Dahlia Bistro,0.0,4.5,78746
"3110 Guadalupe St, Austin, TX 78705, USA",f25416306688afad6e25088e4cd70e90fc67463a,30.298444,-97.74124700000002,Hopfields,1.0,4.5,78705
"5350 Burnet Rd, Austin, TX 78756, USA",0d6fb7db6d7f7b3a51e2537495292cef5ec38b0e,30.32785849999999,-97.7400318,Bonhomie,2.0,4.4,78756
